,Rooms,Floor,TotalFloor,KitchenArea,LivingArea,TotalArea,WaterHeatType,Price,LocNum,OfferType_від власника,OfferType_від посередника,OfferType_від представника господаря (без комісійних),Walls_блочно-кирпичный,Walls_газоблок,Walls_железобетон,Walls_керамзитобетон,Walls_монолитно-каркасный,Walls_монолитно-кирпичный,Walls_монолитный железобетон,Walls_моноліт,Walls_монолітно-блоковий,Walls_панель,Walls_піноблок,Walls_силікатна цегла,Walls_цегла
361,1.0,18.0,25.0,15.0,25.0,52.0,False,9.210440366976517,5518.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
362,2.0,3.0,18.0,16.0,38.0,82.0,False,9.798127036878302,5959.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
363,1.0,19.0,22.0,14.0,50.0,81.0,False,9.510519035757246,7114.200000000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
364,1.0,9.0,9.0,6.0,12.0,30.0,False,8.517393171418904,6529.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
365,1.0,4.0,9.0,7.0,17.0,28.0,False,8.77971129020447,11149.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
366,2.0,14.0,25.0,15.0,42.0,67.0,False,9.472781556562168,4159.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
367,2.0,12.0,25.0,15.0,55.0,72.0,False,9.61587214452889,4048.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
368,2.0,2.0,5.0,8.0,33.0,50.0,False,9.287394001418473,2512.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
369,1.0,5.0,25.0,9.0,20.0,40.0,False,9.105090961257085,7099.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
370,1.0,6.0,9.0,9.0,19.0,40.0,False,8.922791623969637,10442.8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
371,2.0,14.0,15.0,9.0,32.0,55.0,False,9.99884318585288,1748.8000000000006,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
372,2.0,2.0,5.0,5.0,46.0,55.0,False,8.987321812850125,7980.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
373,3.0,7.0,9.0,6.0,53.0,59.0,False,9.305741456739435,5424.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
374,1.0,1.0,20.0,11.0,18.0,43.0,False,8.853808274977197,10574.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
375,1.0,7.0,13.0,3.0,10.0,17.0,False,8.962007209588313,5237.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
